#	Discipline	Source	Description	Input	Output	Code Vector	Date Vector	Attempts Summary	DSLA	LoMI	LaMI	PMG-D	PMG-X	Action buttons
Question number identifier	Subject or field of study	Where this question originated from	Detailed explanation of the question	What the user will see	Where the user should get at	Vector of codes associated with the question	Dates when this question was attempted	Total attempts; Attempts without help; Attempts with help	Days Since Last Attempt: The number of days that have passed since your most recent attempt on the question, irrespective of the method used.	Longest Memory Interval: The maximum number of days between any memory-based attempt and the attempt immediately preceding it (regardless of whether that preceding attempt was solved from memory or with help)	Latest Memory Interval: The number of days between your most recent memory-based attempt and the previous attempt, calculated only if your latest attempt was solved from memory.	Potential Memory Gains in days: The estimated improvement in your Latest Memory Interval, expressed in days, if you successfully answer the question from memory today.	Potential Memory Gain as a multiplier of my LaMI: Proportional increase in your Latest Memory Interval if you answer the question from memory today.	0 = I did the question with help \n 1 = I did the question from memory only
TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE
1	Eletromag			\text{The figure shows five pairs of plates: \textit{A}, \textit{B}, and \textit{D} are charged plastic plates and \textit{C} is an electrically neutral copper plate. The electrostatic forces between the pairs of plates are shown for three of the pairs. For the remaining two pairs, do the plates repel or attract each other?} \\ 	\textit{C} \text{ and } \textit{D} \text{ attract; } \textit{B} \text{ and } \textit{D} \text{ attract} \\ 	0, 1, 1,1	2024-11-07, 2025-01-24, 2025-02-20,2025-04-07	4; 3; 1; From memory	19	78	45	-26	0.42	
2	C3		-	\left(e^{\gamma t}\right)''	e^{\gamma t} \gamma^2	0, 1, 1,1	2024-11-12, 2025-01-16, 2025-01-17,2025-03-09	4; 3; 1; From memory	48	65	50	-2	0.96	
3	EDO	Workbook for Dummies	C1 Q5-6	\text{Solve for } y \text{ in this differential equation:} \\ \frac{dy}{dx} = 8x \\ \text{where} \\ y(0) = 4	y = 4x^2 + 4	0,1,1	2024-11-12, 2025-01-24,2025-04-17	3; 2; 1; From memory	9	82	82	-73	0.11	
4	EDO	Workbook for Dummies	C1 Q9-10	\text{What's } y \text{ in the following equation?} \\ \frac{dy}{dx} = 4y - 8 \\ \text{where} \\ y(0) = 5	y = 2 + 3e^{4x}	0,0,1,0,0,1,1,1,1,1	2024-11-13,2025-01-24,2025-02-06,2025-03-05,2025-03-09,2025-03-10,2025-03-12,2025-03-17,2025-03-24,2025-04-07	10; 6; 4; From memory	19	14	14	5	1.36	
5	EDO	Workbook for Dummies	C1 Q14	\frac{dy}{dx} + 3y = 9 \\ \\ \text{where} \\ y(0) = 7	y = 3 + 4e^{-3x} \\ 	0,1,1	2024-11-13,2025-01-24,2025-04-17	3; 2; 1; From memory	9	83	83	-74	0.11	
6	EDO	Workbook for Dummies	C1 p.17	\text{Solve for } y \text{ by using an integrating factor:} \\ \frac{dy}{dx} + 5y = 10 \\ \text{where} \\ y(0) = 6	y = 2 + 4e^{-5x}	0,0,0,0,0,0,1,1,1,1,1	2024-11-13, 2025-01-24,2025-02-06,2025-02-10,2025-03-09,2025-03-10,2025-03-11,2025-03-13,2025-03-17,2025-03-24,2025-04-07	11; 5; 6; From memory	19	14	14	5	1.36	
7	EDO	Workbook for Dummies	C4 p.103	\text{Solve this differential equation:} \\ \frac{d^2 y}{dx^2} + 3\frac{dy}{dx} + 2y = 0 \\ \text{where} \\ y(0) = 2 \\ y'(0) = -3 \\ 	y = e^{-x} + e^{-2x} \\ 	0,0	2024-11-13, 2025-02-06	2; 0; 2; W/H	79	0	0	79		
8	EDO	Workbook for Dummies	C4 Q10	\text{What's the solution to this differential equation?} \\ \frac{d^2 y}{dx^2} + 7\frac{dy}{dx} + 6y = 0 \\ \text{where} \\ y(0) = 5 \\ y'(0) = -25 \\ 	y = e^{-x} + 4e^{-6x} \\ 	0,1	2024-11-18,2025-02-06	2; 1; 1; From memory	79	80	80	-1	0.99	
9	EDO	Workbook for Dummies	C4 p.106	\text{Solve this differential equation:} \\ 2y'' + 2y' + y = 0 \\ \text{where} \\ y(0) = 1 \\ \text{and} \\ y'(0) = 0	y(x) = e^{-x/2} \cos\left(\frac{x}{2}\right) + e^{-x/2} \sin\left(\frac{x}{2}\right) \\ 	0	2024-11-18	1; 0; 1; W/H	159	0	0	159		
