#	Discipline	Source	Description	Code Vector	Date Vector	DSLA	Action buttons
Question number identifier	Subject or field of study	Where this question originated from	Detailed explanation of the question	Vector of codes associated with the question	Dates when this question was attempted	Number of days since I last attempted this question	0 = I did the question with help \n 1 = I did the question from memory only
TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE
1	Eletromag			[0, 1, 1, 1, 0, 1, 1,1]	[2024-11-07,2024-11-08,2025-02-01,2025-02-02,2025-02-08,2025-02-10,2025-03-20,2025-02-27]	0	
2	C3		-	[0, 1, 1]	[2024-11-07,2024-12-04,2024-12-05]	84	
3	EDA	Workbook for Dummies	C1 Q5-6	[0, 1]	[2024-11-07,2024-12-20]	69	
4	EDA	Workbook for Dummies	C1 Q9-10	[0, 0, 1]	[2024-11-07,2024-12-05,2025-01-14]	44	
5	EDA	Workbook for Dummies	C1 Q14	[0, 1]	[2024-11-07,2024-12-20]	69	
6	EDA	Workbook for Dummies	C1 p.17	[0, 0, 0, 0]	[2024-11-07,2024-12-20,2025-01-22,2025-01-31]	27	
7	EDA	Workbook for Dummies	C4 p.103	[0, 0]	[2024-11-07,2025-01-14]	44	
8	EDA	Workbook for Dummies	C4 Q10	[0, 1]	[2024-11-07,2025-01-14]	44	
9	EDA	Workbook for Dummies	C4 p.106	[0]	[2024-11-07]	112	
10	EDA	Workbook for Dummies	C4 p.108	[0]	[2024-11-07]	112	
11	EDA	Workbook for Dummies	C5 p.123	[0]	[2024-11-07]	112	
12	C3		L2-Q1	[0, 0, 1]	[2024-11-07,2025-01-22,2025-01-31]	27	
13	C3		L2-Q2	[0, 0, 1]	[2024-11-07,2025-01-22,2025-01-31]	27	
14	C3		L2-Q3	[0, 1, 1]	[2024-11-07,2025-01-04,2025-01-31]	27	
15	C3		-	[0, 0, 1]	[2024-11-07,2025-01-04,2025-01-31]	27	
16	C3		L2-Q4.1	[0, 1]	[2024-11-07,2025-01-14]	44	
17	C3		L2-Q5	[0]	[2024-11-07]	112	
18	C3		L2-Q4.2	[0, 0, 1]	[2024-11-07,2025-02-19,2025-02-21]	6	
19	C3		L2-Q6	[0]	[2024-11-07]	112	
20	C3		-	[0, 0, 1]	[2024-11-07,2025-01-04,2025-02-18]	9	
21	C3		-	[0, 1]	[2024-11-07,2025-01-09]	49	
22	C3		-	[0, 1]	[2024-11-07,2025-01-09]	49	
23	C3		-	[0, 1]	[2024-11-07,2025-01-09]	49	
24	C3		L3-Q1	[0, 1, 1]	[2024-11-07,2024-12-19,2024-12-20]	69	
25	C3		L3-Q2	[0, 0]	[2024-12-04,2024-12-05]	84	
26	C3		L3-Q3	[0, 0, 1]	[2024-11-07,2024-12-05,2024-12-20]	69	
27	C3		L3-Q4	[0, 1]	[2024-11-07,2024-12-20]	69	
28	C3		P3	[0, 0, 0, 1]	[2024-11-07,2024-12-05,2024-12-25,2025-01-04]	54	
29	C3		L3	[0, 1]	[2024-11-07,2025-01-04]	54	
30	C3		P3	[0, 1]	[2024-11-07,2025-01-04]	54	
31	C3		P3	[0, 1]	[2024-11-07,2025-01-04]	54	
32	C3		-	[0, 0]	[2024-11-07,2025-02-18]	9	
33	C3		-	[0]	[2025-02-21]	6	
34	French		At the library 1	[0, 0, 0]	[2025-02-18,2025-02-19,2025-02-21]	6	
35	French		At the library 2	[0]	[2025-02-21]	6	
