#	Discipline	Source	Description	Input	Output	Code Vector	Date Vector	Attempts Summary	DSLA	LoMI	LaMI	PMG-D	PMG-X
Question number identifier	Subject or field of study	Where this question originated from	Detailed explanation of the question	What the user will see	Where the user should get at	Vector of codes associated with the question	Dates when this question was attempted	Total attempts; Attempts without help; Attempts with help	Days Since Last Attempt: The number of days that have passed since your most recent attempt on the question, irrespective of the method used.	Longest Memory Interval: The maximum number of days between any memory-based attempt and the attempt immediately preceding it (regardless of whether that preceding attempt was solved from memory or with help)	Latest Memory Interval: The number of days between your most recent memory-based attempt and the previous attempt, calculated only if your latest attempt was solved from memory.	Potential Memory Gains in days: The estimated improvement in your Latest Memory Interval, expressed in days, if you successfully answer the question from memory today.	Potential Memory Gain as a multiplier of my LaMI: Proportional increase in your Latest Memory Interval if you answer the question from memory today.
TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE
1	Eletromag					0, 1, 1,1,0	2024-11-07, 2025-01-24, 2025-02-20,2025-04-07,2025-04-17	5; 3; 2; W/H	0	78	0	0	
2	C3		-	\left(e^{\gamma t}\right)''	e^{\gamma t} \gamma^2	0, 1, 1,1,1	2024-11-12, 2025-01-16, 2025-01-17,2025-03-09,2025-04-17	5; 4; 1; From memory	0	65	39	-39	0.00
3	EDO	Workbook for Dummies	C1 Q5-6	\text{Solve for } y \text{ in this differential equation:} \\ \frac{dy}{dx} = 8x \\ \text{where} \\ y(0) = 4	y = 4x^2 + 4	0,1,1	2024-11-12, 2025-01-24,2025-04-17	3; 2; 1; From memory	0	82	82	-82	0.00
4	EDO	Workbook for Dummies	C1 Q9-10	\text{What's } y \text{ in the following equation?} \\ \frac{dy}{dx} = 4y - 8 \\ \text{where} \\ y(0) = 5	y = 2 + 3e^{4x}	0,0,1,0,0,1,1,1,1,1,1	2024-11-13,2025-01-24,2025-02-06,2025-03-05,2025-03-09,2025-03-10,2025-03-12,2025-03-17,2025-03-24,2025-04-07,2025-04-17	11; 7; 4; From memory	0	14	10	-10	0.00
5	EDO	Workbook for Dummies	C1 Q14			0,1,1	2024-11-13,2025-01-24,2025-04-17	3; 2; 1; From memory	0	83	83	-83	0.00
6	EDO	Workbook for Dummies	C1 p.17	\text{Solve for } y \text{ by using an integrating factor:} \\ \frac{dy}{dx} + 5y = 10 \\ \text{where} \\ y(0) = 6	y = 2 + 4e^{-5x}	0,0,0,0,0,0,1,1,1,1,1	2024-11-13, 2025-01-24,2025-02-06,2025-02-10,2025-03-09,2025-03-10,2025-03-11,2025-03-13,2025-03-17,2025-03-24,2025-04-07	11; 5; 6; From memory	10	14	14	-4	0.71
7	EDO	Workbook for Dummies	C4 p.103			0,0,0	2024-11-13, 2025-02-06,2025-04-17	3; 0; 3; W/H	0	0	0	0	
8	EDO	Workbook for Dummies	C4 Q10			0,1,0	2024-11-18,2025-02-06,2025-04-17	3; 1; 2; W/H	0	80	0	0	
9	EDO	Workbook for Dummies	C4 p.106			0,1	2024-11-18,2025-04-17	1; 0; 1; W/H	150	0	0	150	
10	EDO	Workbook for Dummies	C4 p.108			0	2024-11-18	1; 0; 1; W/H	150	0	0	150	
11	EDO	Workbook for Dummies	C5 p.123			0	2024-11-18	1; 0; 1; W/H	150	0	0	150	
12	C3	2024-2 Lista 2	L2-Q1	"\text{Calcule a integral de linha} \\ 
\quad \int_C \sqrt{1 + 4x^2} \, ds, \\ 
\text{em que } C \text{ é a interseção do cilindro } x^2 + (y - 1)^2 = 1 \text{ com o plano } z = 2y. \\ "	6\pi	0,0,0,1,1,0	2024-11-23,2025-01-17,2025-02-06, 2025-02-11,2025-03-12,2025-04-15	6; 2; 4; W/H	2	28	0	2	
13	C3	2024-2 Lista 2	L2-Q2	"\text{Calcule a massa de um pedaço de arame cuja forma é descrita pela curva} \\ 
\quad \vec{\gamma}(t) = \left\langle 6t^2,\, 4\sqrt{2}t^3,\, 3t^4 \right\rangle; \quad 0 \leq t \leq 1. \\ 
\text{e a densidade é } \rho(x, y, z) = 6 + |x|."	M=84	0,0,0,1,1	2024-11-23,2025-01-17,2025-02-06, 2025-02-11,2025-03-12	5; 2; 3; From memory	36	28	28	8	1.29
14	C3	2024-2 Lista 2	L2-Q3	"\quad \text{Calcule o comprimento da curva} \\ 
\quad \vec{\gamma}(t) = \left\langle \frac{t^2}{2},\, t^3,\, \sqrt{2}t^2 \right\rangle; \quad 0 \leq t \leq 1."	2\sqrt{2} – 1.	0,1,1,1	2024-11-25,2025-01-22,2025-02-11,2025-03-09	4; 3; 1; From memory	39	58	26	13	1.50
15	C3		-	\int \frac{1}{2} \sin(t) \, e^{-\frac{7}{2} - \frac{1}{2} \cos(t)} \, dt \\	e^{-\frac{7}{2} - \frac{1}{2} \cos(t)} + C	0,0,1,1	2024-11-25,2025-02-06,2025-02-11,2025-03-12	4; 2; 2; From memory	36	29	29	7	1.24
16	C3	2024-2 Lista 2	L2-Q4.1	"\text{Considere o campo vetorial } \vec{F} = \langle y, -x, e^z \rangle \text{ e a curva } C, \text{ interseção do paraboloide } z = 4 - x^2 - y^2 \\ 
\text{com o plano } z = 4 - x. \text{ Calcule a integral} \\
\quad \int_C \vec{F} \cdot d\vec{r}."	-\frac{\pi}{2}	0,1	2024-11-25,2025-02-10	2; 1; 1; From memory	66	77	77	-11	0.86
